INFO 08-16 05:28:47 [loggers.py:314] Engine 000: Avg prompt throughput: 971.8 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.7%, Prefix cache hit rate: 0.0%
INFO 08-16 05:28:57 [loggers.py:314] Engine 000: Avg prompt throughput: 2400.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 25.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:07 [loggers.py:314] Engine 000: Avg prompt throughput: 2240.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.8%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:17 [loggers.py:314] Engine 000: Avg prompt throughput: 1760.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 38.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:27 [loggers.py:314] Engine 000: Avg prompt throughput: 1760.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 45.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:37 [loggers.py:314] Engine 000: Avg prompt throughput: 1600.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 50.6%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:47 [loggers.py:314] Engine 000: Avg prompt throughput: 1440.1 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 55.6%, Prefix cache hit rate: 0.0%
INFO 08-16 05:29:57 [loggers.py:314] Engine 000: Avg prompt throughput: 1279.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 60.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:07 [loggers.py:314] Engine 000: Avg prompt throughput: 1280.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 64.4%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:17 [loggers.py:314] Engine 000: Avg prompt throughput: 1279.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 68.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:27 [loggers.py:314] Engine 000: Avg prompt throughput: 1279.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 73.3%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:37 [loggers.py:314] Engine 000: Avg prompt throughput: 1119.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 77.2%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:47 [loggers.py:314] Engine 000: Avg prompt throughput: 1119.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 81.1%, Prefix cache hit rate: 0.0%
INFO 08-16 05:30:57 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.4%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:07 [loggers.py:314] Engine 000: Avg prompt throughput: 1120.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 88.3%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:17 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 91.7%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:27 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 95.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.3%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:47 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:31:57 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:07 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:17 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
