Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.7,1418803936,768,1847401.0,1860740.0,1731683,1885636,32493.6,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16GemmKernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptri32gmemalign16o139264001_tensorptrf16gmemalig_0
19.1,738677298,384,1923638.8,1939700.5,1807331,1958596,34850.3,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16GemmKernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptri32gmemalign16o167116801_tensorptrf16gmemalig_0
12.0,465102028,672,692116.1,687105.5,643457,717026,17299.5,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16GemmKernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptri32gmemalign16o58982401_tensorptrf16gmemalign_0
8.4,325600536,288,1130557.4,1138034.0,1071618,1147682,17165.6,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16GemmKernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptri32gmemalign16o98304001_tensorptrf16gmemalign_0
3.5,135638169,96,1412897.6,1420403.0,1340675,1435523,19992.2,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16GemmKernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptri32gmemalign16o117964801_tensorptrf16gmemalig_0
3.1,118082462,4416,26739.7,15776.0,12288,61376,17948.0,kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kernelW4A16DenseHadamard128Kernel_object_at__tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1_tensorptrf16gmemalign16o1__0
2.5,98075617,1554,63111.7,15616.0,1888,160929,58816.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
2.1,82150133,768,106966.3,110208.5,43489,166177,55933.5,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1.4,54014763,96,562653.8,566161.0,534689,572225,9500.8,kernel_unified_attention
1.3,51681106,1542,33515.6,15648.0,2080,88384,30563.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.2,45935596,3378,13598.5,8832.0,1632,34112,11538.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.1,41895144,2700,15516.7,19872.0,2752,26752,7386.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.0,40134517,384,104517.0,104208.0,98784,111264,2364.4,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)1>(T1 *, const T1 *, int, float, float, float)"
0.8,32719876,768,42604.0,42464.0,37824,48609,1979.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.7,26311411,288,91359.1,91840.0,87425,92800,1215.8,chunk_fwd_kernel_o
0.6,22416140,288,77833.8,78096.0,71872,81024,1477.0,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
0.4,17181867,966,17786.6,19104.0,3744,23200,4932.3,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,16413559,1734,9465.7,9008.0,2240,13152,2091.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,15272806,288,53030.6,53280.0,50561,54336,797.8,merge_16x16_to_64x64_inverse_kernel
0.4,14582627,1248,11684.8,1696.0,1312,32000,13197.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,12830487,192,66825.5,66912.5,63200,69504,1067.1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_nn_align8>(T1::Params)
0.3,12223510,288,42442.7,42368.0,39968,46752,951.3,_causal_conv1d_fwd_kernel
0.2,8272617,966,8563.8,8960.0,2880,11680,1918.6,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
0.2,7741741,288,26881.0,26912.0,25760,27872,337.8,recompute_w_u_fwd_kernel
0.2,6740789,288,23405.5,23328.5,20512,26209,1082.8,_fused_post_conv_kernel
0.1,5077041,288,17628.6,17632.0,16416,18912,434.8,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_nn_align8>(T1::Params)
0.1,4981005,192,25942.7,25952.0,24864,27232,483.6,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
0.1,4710001,768,6132.8,6064.0,2816,9920,3168.7,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,4601802,192,23967.7,24000.0,22880,24512,324.9,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_8x4_nn_align1>(T1::Params)
0.1,4463434,288,15498.0,15552.0,14592,15936,231.8,chunk_scaled_dot_kkt_fwd_kernel
0.1,3721219,384,9690.7,9728.0,9120,10048,168.5,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nn_align1>(T1::Params)
0.1,3684364,288,12792.9,12800.0,12064,13408,247.8,layer_norm_fwd_kernel
0.1,3610536,6,601756.0,600945.5,598369,608002,3496.6,"void exl3_gemm_kernel<(int)6, (bool)0, (int)1, (int)16, (int)16, (int)512, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.1,3359845,576,5833.1,5776.0,3744,7872,1792.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,2182148,1932,1129.5,1088.0,672,1728,319.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,2113671,312,6774.6,7136.0,1696,7936,1428.4,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,1785698,288,6200.3,6208.0,5664,6656,163.8,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,1604162,96,16710.0,16848.0,15616,18624,613.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
