Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
22.4,412120275,18422,22371.1,22624.0,7616,33280,9127.7,CUDA_KERNEL,kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypef4E2M1FN_tensor00o5120111100_tensorptrf4E2M1FNgmemalign1_0
14.6,269808504,427,631870.0,568226.0,561409,1151010,180975.2,CUDA_KERNEL,"void exl3_gemm_kernel<(int)6, (bool)0, (int)1, (int)16, (int)16, (int)512, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
10.6,195328383,26962,7244.6,8896.0,1664,10784,2585.9,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::MaxNanFunctor<c10::BFloat16>>, unsigned int, c10::BFloat16, (int)4, (int)4>>(T3)"
8.8,162256563,4270,37999.2,40192.0,31809,42560,3624.6,CUDA_KERNEL,kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypef4E2M1FN_tensor00o17408111100_tensorptrf4E2M1FNgmemalign_0
5.3,98122573,18422,5326.4,4896.0,4736,9216,603.2,CUDA_KERNEL,kernel_cutlass_kernel_b12xquantizationnvfp4_kernelBf16ToFp4TmaKernel_object_at__tensorptrbf16gmemalign16o128512051201_CopyAtom_ThrID10_TVLayoutSrc11638401_TVLayoutDst11638401_Valuetypef4E_0
4.7,85854723,58997,1455.2,1408.0,672,11937,743.9,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
4.1,76374152,2880,26518.8,27872.0,12928,41664,4766.7,CUDA_KERNEL,fused_sigmoid_gating_delta_rule_update_kernel
3.2,58394962,4270,13675.6,13856.0,12256,16448,750.8,CUDA_KERNEL,kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKernel_object_at__CopyAtom_ThrID10_TVLayoutSrc1819201_TVLayoutDst1819201_Valuetypef4E2M1FN_tensor00o6144111100_tensorptrf4E2M1FNgmemalign1_0
3.1,56514111,12383,4563.8,6688.0,992,7072,2406.0,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)"
1.8,32851887,26962,1218.5,1216.0,1120,1536,39.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.6,29500688,23484,1256.2,1280.0,544,2624,200.0,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.5,27436898,4270,6425.5,6464.0,5824,8256,201.9,CUDA_KERNEL,kernel_cutlass_kernel_b12xquantizationnvfp4_kernelBf16ToFp4TmaKernel_object_at__tensorptrbf16gmemalign16o128614461441_CopyAtom_ThrID10_TVLayoutSrc11638401_TVLayoutDst11638401_Valuetypef4E_0
1.5,27193130,4270,6368.4,6368.0,5952,7137,161.5,CUDA_KERNEL,kernel_cutlass_kernel_b12xquantizationnvfp4_kernelBf16ToFp4TmaKernel_object_at__tensorptrbf16gmemalign16o12817408174081_CopyAtom_ThrID10_TVLayoutSrc11638401_TVLayoutDst11638401_Valuetypef_0
1.3,23290330,24716,942.3,896.0,768,1504,97.6,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.2,22181746,26962,822.7,832.0,736,1184,37.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.1,20061579,26962,744.1,736.0,672,1088,42.2,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.0,18241654,26962,676.6,672.0,608,960,37.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.9,17404272,31213,557.6,544.0,448,3968,78.7,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.9,16515408,58,284748.4,312113.0,238593,320833,35256.4,CUDA_KERNEL,_topk_topp_kernel
0.9,16477282,26962,611.1,576.0,512,1056,69.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<c10::BFloat16>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.8,14930878,24766,602.9,608.0,480,864,40.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.8,14643709,26962,543.1,544.0,480,832,36.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.7,12409916,20923,593.1,576.0,512,864,28.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.7,12249818,4270,2868.8,2880.0,2688,3104,50.0,CUDA_KERNEL,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.6,10534164,366,28781.9,25728.0,25248,49568,7897.9,CUDA_KERNEL,"void exl3_gemm_kernel<(int)4, (bool)0, (int)1, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.5,8443126,8906,948.0,832.0,672,1792,199.4,CUDA_KERNEL,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.4,8187224,2880,2842.8,2816.0,2496,3552,92.1,CUDA_KERNEL,_causal_conv1d_update_kernel
0.4,8077176,12383,652.3,640.0,512,928,30.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.4,7738519,12383,624.9,608.0,544,992,50.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,6364687,2304,2762.5,2752.0,2592,3200,92.8,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align8>(T1::Params)
0.3,6295214,8540,737.1,736.0,672,992,32.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,5843309,1415,4129.5,4928.0,1152,5408,1313.1,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.3,5411988,1342,4032.8,4320.0,2688,5280,657.9,CUDA_KERNEL,kernel_unified_attention
0.2,4133638,2928,1411.8,1536.0,896,1792,233.3,CUDA_KERNEL,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,3842697,2928,1312.4,1280.0,1088,1792,99.6,CUDA_KERNEL,layer_norm_fwd_kernel
0.2,3338760,1647,2027.2,1824.0,672,14624,1828.3,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
