-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              gpu_model_runner: forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.091s       130.67%        1.091s     363.773ms             3  
                                b12x::dense_gemm_launch         4.95%      58.146ms         5.27%      61.949ms      60.914us     261.667ms        31.33%     261.667ms     257.293us          1017  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us     184.618ms        22.10%     184.618ms     272.298us           678  
                          vllm::b12x_trellis_linear_out         2.47%      29.038ms         2.63%      30.928ms     303.212us     115.386ms        13.82%     115.386ms       1.131ms           102  
                                            aten::copy_         3.48%      40.899ms         8.04%      94.452ms       4.936us      92.827ms        11.11%      92.870ms       4.854us         19134  
kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kern...         0.00%       0.000us         0.00%       0.000us       0.000us      75.567ms         9.05%      75.567ms       1.482ms            51  
                                gpu_model_runner: draft         0.00%       0.000us         0.00%       0.000us       0.000us      67.554ms         8.09%      67.554ms      11.259ms             6  
kernel_cutlass_kernel_b12x_libdense_gemmDenseGemmKer...         0.00%       0.000us         0.00%       0.000us       0.000us      61.579ms         7.37%      61.579ms     315.789us           195  
                                              aten::cat         0.25%       2.894ms         0.35%       4.055ms       9.939us      44.339ms         5.31%      44.339ms     108.674us           408  
                                              aten::bmm         4.82%      56.608ms         6.92%      81.280ms       9.407us      43.858ms         5.25%      43.863ms       5.077us          8640  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      43.666ms         5.23%      43.666ms     111.111us           393  
                            ChunkGatedDeltaRuleFunction         3.09%      36.309ms         3.74%      43.892ms     304.803us      42.543ms         5.09%      43.214ms     300.099us           144  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      37.071ms         4.44%      37.071ms       5.375us          6897  
kernel_cutlass_kernel_b12xmoe_sharedkernelsw4a16kern...         0.00%       0.000us         0.00%       0.000us       0.000us      35.924ms         4.30%      35.924ms     704.395us            51  
                                              aten::mul         2.97%      34.848ms         4.68%      54.985ms       5.125us      34.568ms         4.14%      34.569ms       3.222us         10728  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      32.763ms         3.92%      32.763ms       3.396us          9648  
                                       exl3::fp4_linear        14.39%     168.967ms        29.54%     346.914ms     341.115us      31.436ms         3.76%     367.527ms     361.383us          1017  
                    vllm::unified_attention_with_output         0.44%       5.134ms         0.52%       6.055ms     118.724us      29.453ms         3.53%      29.453ms     577.512us            51  
